text,label,notes
"I've been looking at Joel Embiid's stats and I think he's having an MVP-caliber season - 28.5 PPG, 11.8 RPG, and 48.5 FG% are all career highs",analysis,synthetic
"The Lakers' small ball lineup with LeBron at center has been incredibly effective, outscoring opponents by 12.1 points per 100 possessions",analysis,synthetic
"Did you know that Luka Doncic is on pace to become the first player since Michael Jordan to average 30+ PPG, 8+ RPG, and 8+ APG in a single season?",analysis,synthetic
I compared the Warriors' 2015-2016 season to their current one and it's crazy how similar their pace and scoring margins are - 111.6 points per 100 possessions then vs 112.1 now,analysis,synthetic
"The Celtics' switch to a more aggressive defensive scheme has led to a 5.5% increase in opponent turnover rate, which has been huge for their playoff push",analysis,synthetic
"Giannis Antetokounmpo's free throw percentage has increased by 10% since the All-Star break, which is a huge factor in the Bucks' recent success",analysis,synthetic
I think people are sleeping on Nikola Jokic's clutch gene - he's shooting 52.4% from the field and 44.7% from 3 in the 4th quarter this season,analysis,synthetic
"The 76ers' bench has been outscored by 4.2 points per 100 possessions this season, which is a major concern heading into the playoffs",analysis,synthetic
"Damian Lillard's true shooting percentage is at a career high 62.1%, which is insane considering he's taking 2.5 more 3-pointers per game than last season",analysis,synthetic
"I looked at the last 10 NBA champions and 8 of them had a top-5 defense, which is why I think the Jazz have a real shot at the title this year",analysis,synthetic
"The Heat's zone defense has been super effective, holding opponents to 42.1% shooting from the field and 31.4% from 3",analysis,synthetic
"I think Devin Booker is the most underrated player in the league - he's averaging 26.5 PPG, 6.5 APG, and 4.2 RPG on 48.5% shooting",analysis,synthetic
"The Nuggets' pace has slowed down significantly since the All-Star break, from 103.4 possessions per game to 99.2, which has affected their scoring output",analysis,synthetic
"Kawhi Leonard's mid-range game is still elite, he's shooting 52.9% from 10-15 feet this season",analysis,synthetic
"The Raptors' rebounding margin has improved by 3.1 per game since the trade deadline, which is a huge factor in their recent success",analysis,synthetic
I compared the stats of Ja Morant and Trae Young from their rookie seasons and it's crazy how similar they are - both averaged around 17 PPG and 7 APG,analysis,synthetic
"The Clippers' bench has been crushing it lately, outscoring opponents by 7.1 points per 100 possessions over the last 10 games",analysis,synthetic
I think the Thunder should trade for a veteran big man to complement Shai Gilgeous-Alexander and Lu Dort - their defense has been getting torched in the paint,analysis,synthetic
"The Pelicans' fast break has been incredibly effective, scoring 1.23 points per possession in transition, which is 2nd in the league",analysis,synthetic
Donovan Mitchell's 3-point shooting has been a major factor in the Jazz's success - he's hitting 38.5% of his attempts from deep,analysis,synthetic
"The Bulls' pick-and-roll defense has been a disaster, allowing 1.12 points per possession, which is 25th in the league",analysis,synthetic
"I looked at the advanced stats of the top 5 MVP candidates and it's clear that Giannis has a strong case - he's 2nd in PER, 1st in win shares, and 1st in box plus/minus",analysis,synthetic
"The Nets' offense has been unstoppable with all 3 of their stars healthy, scoring 123.4 points per 100 possessions over the last 5 games",analysis,synthetic
"The Spurs' young core has been impressive, with Dejounte Murray, Keldon Johnson, and Jakob Poeltl all showing significant improvement in their sophomore seasons",analysis,synthetic
"I think people are sleeping on Jamal Murray's clutch gene - he's got a 45.6% 3PT percentage in the 4th quarter this season, highest among all guards with at least 50 attempts",analysis,synthetic
"Did some research and since the All-Star break, Giannis is averaging 32.1 points, 12.5 rebounds, and 5.8 assists per game - those are insane numbers, anyone think he can keep it up?",analysis,synthetic
"Just wanted to point out that the Celtics are 15-5 when they have a defensive rating below 100, compared to 10-12 when it's above 100 - their D is the key to their success",analysis,synthetic
"Luka Doncic is on pace to become the first player since Larry Bird to average 28+ points, 8+ rebounds, and 8+ assists per game in a single season - what a legend",analysis,synthetic
"I've been looking at some advanced stats and it seems like the Clippers are really struggling with turnover percentage - they're at 14.1%, 2nd worst in the league, and it's killing their offense",analysis,synthetic
"Curious to see what people think about the idea that the Lakers should start using a drop coverage defense - it's worked for the Suns and Bucks, and could help hide AD's lack of mobility",analysis,synthetic
"Went back and looked at some old box scores - Shaq's 1999-2000 season is still one of the most dominant I've ever seen, 29.7 points, 13.6 rebounds, 3.8 blocks per game, what a beast",analysis,synthetic
"Someone mentioned that the 76ers should consider a small-ball lineup, but I think that would be a disaster - they're already 25th in the league in defensive rebounding percentage",analysis,synthetic
"Just a random observation, but has anyone else noticed that Steph Curry is shooting 48.2% from 3 on catch-and-shoot attempts this season? That's absurd",analysis,synthetic
"I did some research and found that since 1980, only 12 teams have made the NBA Finals with a negative point differential - the current Knicks team is at -0.5, so maybe they're not as bad as everyone thinks",analysis,synthetic
"LeBron's been getting criticized for his lack of 3PT shooting, but he's actually got a 38.5% mark from the corners this season - if he can just get more attempts from there, I think he can get back to being an elite shooter",analysis,synthetic
Does anyone think that the Heat should consider trading for a big man? They're 28th in the league in rebounding percentage and it's killing their playoff chances,analysis,synthetic
"I think the Nuggets are the most underrated team in the league - they've got a 123.5 ORTG, 2nd best in the league, and are only getting better with Murray back",analysis,synthetic
